"FACILITY_ID","SURVEY_DATE","DEFICIENCY CATEGORY","STIP_NUMBER","STIP_DATE","FINE_ASSESSED","FACILITY_NAME","County","STIP_PDF_NAME"
"548","11/23/2009","Quality of Care","NH_10_036","09/28/2010","$10,000.00","Sunharbor Manor","Nassau","pfi548nh_10_036.pdf"
"1008","05/14/2009","Multiple Deficiencies","NH_10_040","10/13/2010","$8,000.00","Warren Center For Rehabilitation And Nursing","Warren","pfi1008nh_10_040.pdf"
"762","02/26/2009","Quality of Care","NH_10_041","10/13/2010","$10,000.00","Troy Center For Rehabilitation And Nursing","Rensselaer","pfi762nh_10_041.pdf"
"368","10/29/2009","Multiple Deficiencies","NH_10_044","10/13/2010","$4,000.00","Samaritan Keep Nursing Home Inc","Jefferson","pfi368nh_10_044.pdf"
"360","09/17/2008","Multiple Deficiencies","NH_10_048","10/13/2010","$14,000.00","Foltsbrook Center For Nursing And Rehabilitation","Herkimer","pfi360nh_10_048.pdf"
"7875","04/02/2009","Multiple Deficiencies","NH_10_057","10/13/2010","$14,000.00","Regal Heights Rehabilitation And Health Care Ctr","Queens","pfi7875nh_10_057.pdf"
"1080","10/07/2009","Quality of Care","NH_10_042","10/19/2010","$4,000.00","Sutton Park Center For Nursing And Rehabilitation","Westchester","pfi1080nh_10_042.pdf"
"4551","05/19/2009","Multiple Deficiencies","NH_10_043","10/19/2010","$14,000.00","Ghent Rehabilitation & Nursing Center","Columbia","pfi4551nh_10_043.pdf"
"794","12/04/2009","Quality of Care","NH_10_045","10/19/2010","$10,000.00","Summit Park Nursing Care Center","Rockland","pfi794nh_10_045.pdf"
"1700","07/17/2009","Resident Rights","NH_10_046","10/19/2010","$4,000.00","Woodcrest Rehab & Residential H C Center, L L C","Queens","pfi1700nh_10_046.pdf"
"4552","03/13/2009","Quality of Care","NH_10_051","10/19/2010","$10,000.00","Luxor Nursing And Rehabilitation At Sayville","Suffolk","pfi4552nh_10_051.pdf"
"4092","07/01/2009","Multiple Deficiencies","NH_10_047","10/27/2010","$8,000.00","Pathways Nursing And Rehabilitation Center","Schenectady","pfi4092nh_10_047.pdf"
"1739","04/04/2008","Quality of Care","NH_10_049","10/27/2010","$4,000.00","Terrace View Long Term Care Facility","Erie","pfi1739nh_10_049.pdf"
"1739","01/12/2009","Quality of Care","NH_10_050","10/27/2010","$10,000.00","Terrace View Long Term Care Facility","Erie","pfi1739nh_10_050.pdf"
"3401","12/17/2009","Quality of Care","NH_10_052","10/27/2010","$10,000.00","Beach Gardens Rehab And Nursing Center","Queens","pfi3401nh_10_052.pdf"
"1671","10/16/2009","Multiple Deficiencies","NH_10_058","11/09/2010","$4,000.00","Parker Jewish Institute For Health Care & Rehab","Queens","pfi1671nh_10_058.pdf"
"403","10/22/2009","Multiple Deficiencies","NH_10_053","11/15/2010","$4,000.00","The Grand Rehabilitation And Nrsg At Chittenango","Madison","pfi403nh_10_053.pdf"
"310","08/31/2009","Quality of Care","NH_10_055","11/15/2010","$10,000.00","Elderwood At Ticonderoga","Essex","pfi310nh_10_055.pdf"
"6037","09/25/2009","Quality of Care","NH_10_056","11/15/2010","$2,000.00","Union Plaza Care Center","Queens","pfi6037nh_10_056.pdf"
"41","10/15/2009","Quality of Care","NH_10_059","11/25/2010","$2,000.00","Highland Park Rehabilitation And Nursing Center","Allegany","pfi41nh_10_059.pdf"
"657","12/08/2009","Quality of Care","NH_10_060","11/29/2010","$10,000.00","The Cottages At Garden Grove, A Skilled Nrsg Comm","Onondaga","pfi657nh_10_060.pdf"
"156",".","Multiple Deficiencies","NH_11_003","11/30/2010","$42,000.00","Livingston Hills Nursing And Rehabilitation Center","Columbia","pfi156nh_11_003.pdf"
"2589","08/06/2009","Multiple Deficiencies","NH_10_061","12/06/2010","$8,000.00","Wellsville Manor Care Center","Allegany","pfi2589nh_10_061.pdf"
"41","10/15/2009","Quality of Care","NH_10_062","12/06/2010","$2,000.00","Highland Park Rehabilitation And Nursing Center","Allegany","pfi41nh_10_062.pdf"
"1405","10/22/2009","Multiple Deficiencies","NH_10_063","12/06/2010","$4,000.00","The Phoenix Rehabilitation And Nursing Center","Kings","pfi1405nh_10_063.pdf"
"654","05/26/2009","Quality of Care","NH_10_064","12/06/2010","$2,000.00","Central Park Rehabilitation And Nursing Center","Onondaga","pfi654nh_10_064.pdf"
"607","12/14/2009","Multiple Deficiencies","NH_11_001","12/07/2010","$8,000.00","Utica Rehabilitation & Nursing Center","Oneida","pfi607nh_11_001.pdf"
"1108","01/28/2008","Multiple Deficiencies","NH_11_005","12/08/2010","$2,000.00","Guild Home For Aged Blind","Westchester","pfi1108nh_11_005.pdf"
"3012","10/27/2008","Quality of Care","NH_11_004","03/01/2011","$2,000.00","Buffalo Center For Rehabilitation And Nursing","Erie","pfi3012nh_11_004.pdf"
"1731","03/22/2010","Quality of Care","NH_11_008","03/01/2011","$10,000.00","Horizon Care Center","Queens","pfi1731nh_11_008.pdf"
"1010","05/26/2010","Quality of Care","NH_11_011","03/01/2011","$10,000.00","The Pines At Glens Falls Ctr For Nursing & Rehab","Warren","pfi1010nh_11_011.pdf"
"474","02/05/2010","Quality of Care","NH_11_012","03/01/2011","$2,000.00","Park Ridge Nursing Home","Monroe","pfi474nh_11_012.pdf"
"1029","01/08/2010","Quality of Care","NH_11_013","03/01/2011","$2,000.00","Wayne Health Care","Wayne","pfi1029nh_11_013.pdf"
"932","06/14/2010","Quality of Care","NH_11_014","03/01/2011","$10,000.00","Ross Center For Nursing And Rehabilitation","Suffolk","pfi932nh_11_014.pdf"
"1260","12/18/2009","Quality of Care","NH_11_009","03/02/2011","$4,000.00","Pinnacle Multicare Nursing And Rehab Center","Bronx","pfi1260nh_11_009.pdf"
"463","02/12/2010","Quality of Care","NH_11_006","03/03/2011","$2,000.00","The Brightonian, Inc","Monroe","pfi463nh_11_006.pdf"
"1252","10/26/2009","Multiple Deficiencies","NH_11_007","03/03/2011","$6,000.00","Morningside Nursing And Rehabilitation Center","Bronx","pfi1252nh_11_007.pdf"
"446","01/15/2010","Quality of Care","NH_11_010","03/03/2011","$10,000.00","Brighton Manor","Monroe","pfi446nh_11_010.pdf"
"329","06/26/2009","Multiple Deficiencies","NH_11_016","03/04/2011","$8,000.00","Franklin County Nursing Home","Franklin","pfi329nh_11_016.pdf"
"99","01/06/2009","Quality of Care","NH_11_015","03/11/2011","$10,000.00","Chautauqua Nursing And Rehabilitation Ceneter","Chautauqua","pfi99nh_11_015.pdf"
"1008","02/25/2010","Quality of Care","NH_11_017","03/11/2011","$2,000.00","Warren Center For Rehabilitation And Nursing","Warren","pfi1008nh_11_017.pdf"
"696","09/02/2009","Multiple Deficiencies","NH_11_018","03/11/2011","$72,000.00","Sapphire Nursing At Meadow Hill","Orange","pfi696nh_11_018.pdf"
"4552","04/09/2010","Quality of Care","NH_11_019","04/04/2011","$10,000.00","Luxor Nursing And Rehabilitation At Sayville","Suffolk","pfi4552nh_11_019.pdf"
"7069","11/30/2009","Quality of Care","NH_11_020","04/11/2011","$12,000.00","Brooklyn Gardens Nursing & Rehabilitation Center","Kings","pfi7069nh_11_020.pdf"
"1029","07/09/2010","Quality of Care","NH_11_028","05/19/2011","$2,000.00","Wayne Health Care","Wayne","pfi1029nh_11_028.pdf"
"56","07/22/2009","Quality of Care","NH_11_022","05/24/2011","$2,000.00","Absolut Ctr For Nursing & Rehab Endicott L L C","Broome","pfi56nh_11_022.pdf"
"650","11/13/2008","Quality of Care","NH_11_023","05/24/2011","$2,000.00","Van Duyn Center For Rehabilitation And Nursing","Onondaga","pfi650nh_11_023.pdf"
"1154","03/19/2009","Quality of Care","NH_11_024","05/24/2011","$10,000.00","Wyoming County Community Hospital S N F","Wyoming","pfi1154nh_11_024.pdf"
"1080","01/19/2010","Quality of Care","NH_11_026","05/24/2011","$10,000.00","Sutton Park Center For Nursing And Rehabilitation","Westchester","pfi1080nh_11_026.pdf"
"1368","03/08/2010","Quality of Care","NH_11_029","05/24/2011","$22,000.00","Brooklyn United Methodist Church Home","Kings","pfi1368nh_11_029.pdf"
"774","04/08/2010","Multiple Deficiencies","NH_11_033","05/24/2011","$24,000.00","Northern Riverview Health Care, Inc","Rockland","pfi774nh_11_033.pdf"
"488","07/06/2010","Quality of Care","NH_11_034","05/24/2011","$10,000.00","Capstone Center For Rehabilitation And Nursing","Montgomery","pfi488nh_11_034.pdf"
"33","09/10/2009","Resident Rights","NH_11_032","05/31/2011","$10,000.00","The Grand Rehabilitation And Nrsg At Guilderland","Albany","pfi33nh_11_032.pdf"
"497",".","Multiple Deficiencies","NH_11_035","06/20/2011","$34,000.00","Grandell Rehabilitation And Nursing Center","Nassau","pfi497nh_11_035.pdf"
"963","04/16/2009","Quality of Care","NH_11_036","06/20/2011","$10,000.00","Sullivan County Adult Care Center","Sullivan","pfi963nh_11_036.pdf"
"442","09/27/2010","Quality of Care","NH_11_037","06/20/2011","$10,000.00","St Johns Health Care Corporation","Monroe","pfi442nh_11_037.pdf"
"288","10/14/2008","Quality of Care","NH_11_038","07/01/2011","$10,000.00","Beechwood Homes","Erie","pfi288nh_11_038.pdf"
"1379","02/27/2009","Quality of Care","NH_11_039","07/11/2011","$10,000.00","New Carlton Rehab And Nursing Center, L L C","Kings","pfi1379nh_11_039.pdf"
"1233","08/26/2008","Multiple Deficiencies","NH_11_040","07/11/2011","$10,000.00","Fieldston Lodge Care Center","Bronx","pfi1233nh_11_040.pdf"
"1235","07/13/2009","Multiple Deficiencies","NH_11_041","07/11/2011","$4,000.00","Morris Park Rehabilitation And Nursing Center","Bronx","pfi1235nh_11_041.pdf"
"1707",".","Multiple Deficiencies","NH_11_042","08/22/2011","$16,000.00","Lawrence Nursing Care Center, Inc","Queens","pfi1707nh_11_042.pdf"
"5760","04/13/2009","Quality of Care","NH_11_043","08/22/2011","$10,000.00","Wingate Of Dutchess","Dutchess","pfi5760nh_11_043.pdf"
"4551","01/12/2010","Quality of Care","NH_11_044","08/22/2011","$12,000.00","Ghent Rehabilitation & Nursing Center","Columbia","pfi4551nh_11_044.pdf"
"1408","01/29/2010","Multiple Deficiencies","NH_11_046","08/22/2011","$24,000.00","Downtown Brooklyn Nursing & Rehabilitation Center","Kings","pfi1408nh_11_046.pdf"
"1251","04/16/2010","Multiple Deficiencies","NH_11_047","08/25/2011","$4,000.00","Bronx Center For Rehabilitation & Health Care","Bronx","pfi1251nh_11_047.pdf"
"1603","03/12/2010","Quality of Care","NH_11_048","08/25/2011","$2,000.00","The New Jewish Home, Manhattan","New York","pfi1603nh_11_048.pdf"
"537","01/29/2010","Multiple Deficiencies","NH_11_049","08/25/2011","$6,000.00","Oceanside Care Center Inc","Nassau","pfi537nh_11_049.pdf"
"7268","10/22/2009","Multiple Deficiencies","NH_11_050","08/25/2011","$8,000.00","Evergreen Commons Rehabilitation And Nursing Ctr","Rensselaer","pfi7268nh_11_050.pdf"
"1578","01/29/2010","Quality of Care","NH_11_051","08/25/2011","$12,000.00","New East Side Nursing Home","New York","pfi1578nh_11_051.pdf"
"800","07/28/2010","Multiple Deficiencies","NH_13_001","08/25/2011","$12,000.00","St Josephs Home","Saint Lawrence","pfi800nh_13_001.pdf"
"310","06/01/2010","Multiple Deficiencies","NH_11_045","09/26/2011","$6,000.00","Elderwood At Ticonderoga","Essex","pfi310nh_11_045.pdf"
"907","05/06/2009","Multiple Deficiencies","NH_11_052","09/26/2011","$6,000.00","John J Foley Skilled Nursing Facility","Suffolk","pfi907nh_11_052.pdf"
"5568","07/30/2010","Quality of Care","NH_11_053","09/26/2011","$10,000.00","Manhattan Center For Nursing & Rehabilitation","New York","pfi5568nh_11_053.pdf"
"1407",".","Multiple Deficiencies","NH_11_054","09/26/2011","$10,000.00","Crown Heights Center For Nursing And Rehab","Kings","pfi1407nh_11_054.pdf"
"177","06/17/2010","Multiple Deficiencies","NH_11_055","09/26/2011","$6,000.00","Countryside Care Center","Delaware","pfi177nh_11_055.pdf"
"6232","09/13/2010","Multiple Deficiencies","NH_11_056","09/26/2011","$12,000.00","The Grand Rehabilitation And Nrsg At River Valley","Dutchess","pfi6232nh_11_056.pdf"
"3089","04/09/2010","Quality of Care","NH_11_057","09/26/2011","$2,000.00","Terence Cardinal Cooke Health Care Center","New York","pfi3089nh_11_057.pdf"
"398","04/02/2010","Multiple Deficiencies","NH_11_058","09/26/2011","$8,000.00","Oneida Health Rehabilitation And Extended Care","Madison","pfi398nh_11_058.pdf"
"1409","04/29/2010","Multiple Deficiencies","NH_11_059","09/26/2011","$6,000.00","Bedford Center For Nursing And Rehabilitation","Kings","pfi1409nh_11_059.pdf"
"749","04/30/2010","Multiple Deficiencies","NH_11_060","09/26/2011","$6,000.00","Cooperstown Center For Rehabilitation And Nursing","Otsego","pfi749nh_11_060.pdf"
"1702","03/19/2010","Multiple Deficiencies","NH_11_061","11/02/2011","$20,000.00","Queens Nassau Rehabilitation And Nursing Center","Queens","pfi1702nh_11_061.pdf"
"731","02/05/2010","Multiple Deficiencies","NH_11_062","11/02/2011","$4,000.00","Morningstar Residential Care Center","Oswego","pfi731nh_11_062.pdf"
"620","08/24/2010","Multiple Deficiencies","NH_11_063","11/23/2011","$6,000.00","Charles T Sitrin Health Care Center Inc","Oneida","pfi620nh_11_063.pdf"
"656","10/06/2010","Quality of Care","NH_11_064","11/23/2011","$10,000.00","Bishop Rehabilitation And Nursing Center","Onondaga","pfi656nh_11_064.pdf"
"38","10/07/2011","Multiple Deficiencies","NH_11_069","12/06/2011","$6,000.00","Cuba Memorial Hospital Inc S N F","Allegany","pfi38nh_11_069.pdf"
"564","12/07/2010","Quality of Care","NH_11_065","12/16/2011","$10,000.00","The Grand Rehabilitation And Nursing At South Poin","Nassau","pfi564nh_11_065.pdf"
"508","09/28/2010","Multiple Deficiencies","NH_11_066","12/16/2011","$8,000.00","Hempstead Park Nursing Home","Nassau","pfi508nh_11_066.pdf"
"1757","11/22/2010","Quality of Care","NH_11_068","12/16/2011","$10,000.00","Golden Gate Rehabilitation & Health Care Center","Richmond","pfi1757nh_11_068.pdf"
"508","01/09/2009","Quality of Care","NH_12_001","01/06/2012","$10,000.00","Hempstead Park Nursing Home","Nassau","pfi508nh_12_001.pdf"
"274","01/24/2011","Quality of Care","NH_13_002","01/10/2012","$2,000.00","Comprehensive Rehab & Nursing Ctr At Williamsville","Erie","pfi274nh_13_002.pdf"
"1088","12/17/2010","Multiple Deficiencies","NH_12_002","01/17/2012","$12,000.00","Bethel Nursing Home Company Inc","Westchester","pfi1088nh_12_002.pdf"
"1026","08/11/2010","Multiple Deficiencies","NH_12_003","01/17/2012","$8,000.00","Washington Center For Rehab And Healthcare","Washington","pfi1026nh_12_003.pdf"
"274","10/28/2010","Quality of Care","NH_12_004","01/18/2012","$10,000.00","Comprehensive Rehab & Nursing Ctr At Williamsville","Erie","pfi274nh_12_004.pdf"
"331","10/08/2010","Multiple Deficiencies","NH_12_005","02/06/2012","$20,000.00","Nathan Littauer Hospital Nursing Home","Fulton","pfi331nh_12_005.pdf"
"1010","11/04/2010","Quality of Care","NH_12_006","02/06/2012","$2,000.00","The Pines At Glens Falls Ctr For Nursing & Rehab","Warren","pfi1010nh_12_006.pdf"
"1013",".","Multiple Deficiencies","NH_12_007","02/06/2012","$8,000.00","Elderwood At North Creek","Warren","pfi1013nh_12_007.pdf"
"800","07/28/2010","Quality of Care","NH_12_008","02/17/2012","$12,000.00","St Josephs Home","Saint Lawrence","pfi800nh_12_008.pdf"
"329","04/30/2010","Quality of Care","NH_12_009","02/17/2012","$10,000.00","Franklin County Nursing Home","Franklin","pfi329nh_12_009.pdf"
"403","01/20/2011","Quality of Care","NH_12_010","02/17/2012","$20,000.00","The Grand Rehabilitation And Nrsg At Chittenango","Madison","pfi403nh_12_010.pdf"
"657","01/14/2011","Quality of Care","NH_12_011","02/22/2012","$10,000.00","The Cottages At Garden Grove, A Skilled Nrsg Comm","Onondaga","pfi657nh_12_011.pdf"
"1372",".","Multiple Deficiencies","NH_12_012","03/12/2012","$22,000.00","Lutheran Augustana Ctr For Extended Care & Rehab","Kings","pfi1372nh_12_012.pdf"
"156","09/15/2010","Quality of Care","NH_12_013","03/12/2012","$2,000.00","Livingston Hills Nursing And Rehabilitation Center","Columbia","pfi156nh_12_013.pdf"
"3186","01/03/2011","Quality of Care","NH_12_014","03/12/2012","$4,000.00","Auburn Senior Services Inc","Cayuga","pfi3186nh_12_014.pdf"
"136","02/03/2011","Multiple Deficiencies","NH_12_020","03/12/2012","$22,000.00","Champlain Valley Physicians Hosp Med Ctr S N F","Clinton","pfi136nh_12_020.pdf"
"1008","02/08/2011","Quality of Care","NH_12_022","03/12/2012","$2,000.00","Warren Center For Rehabilitation And Nursing","Warren","pfi1008nh_12_022.pdf"
"1106","02/11/2011","Quality of Care","NH_12_015","03/16/2012","$10,000.00","Sans Souci Rehabilitation And Nursing Center","Westchester","pfi1106nh_12_015.pdf"
"650",".","Multiple Deficiencies","NH_12_016","03/19/2012","$12,000.00","Van Duyn Center For Rehabilitation And Nursing","Onondaga","pfi650nh_12_016.pdf"
"1316","02/16/2011","Multiple Deficiencies","NH_12_017","03/19/2012","$22,000.00","Rutland Nursing Home, Inc","Kings","pfi1316nh_12_017.pdf"
"6237","01/04/2011","Multiple Deficiencies","NH_12_018","03/19/2012","$24,000.00","Wingate At Beacon","Dutchess","pfi6237nh_12_018.pdf"
"1233","01/11/2011","Multiple Deficiencies","NH_12_019","03/19/2012","$12,000.00","Fieldston Lodge Care Center","Bronx","pfi1233nh_12_019.pdf"
"201","01/10/2011","Multiple Deficiencies","NH_12_021","03/23/2012","$4,000.00","Fishkill Center For Rehabilitation And Nursing","Dutchess","pfi201nh_12_021.pdf"
"664","01/31/2011","Multiple Deficiencies","NH_12_023","03/27/2012","$8,000.00","Sunnyside Care Center","Onondaga","pfi664nh_12_023.pdf"
"30","02/28/2011","Quality of Care","NH_12_024","04/04/2012","$2,000.00","Shaker Place Rehabilitation And Nursing Center","Albany","pfi30nh_12_024.pdf"
"156",".","Multiple Deficiencies","NH_12_025","04/20/2012","$16,000.00","Livingston Hills Nursing And Rehabilitation Center","Columbia","pfi156nh_12_025.pdf"
"446","03/16/2011","Quality of Care","NH_12_026","04/20/2012","$2,000.00","Brighton Manor","Monroe","pfi446nh_12_026.pdf"
"1010","03/03/2011","Quality of Care","NH_12_027","04/20/2012","$2,000.00","The Pines At Glens Falls Ctr For Nursing & Rehab","Warren","pfi1010nh_12_027.pdf"
"1235","03/08/2011","Quality of Care","NH_12_028","04/20/2012","$10,000.00","Morris Park Rehabilitation And Nursing Center","Bronx","pfi1235nh_12_028.pdf"
"1399","02/15/2010","Quality of Care","NH_12_029","05/30/2012","$10,000.00","Shore View Nursing  & Rehabilitation Center","Kings","pfi1399nh_12_029.pdf"
"1260","02/16/2011","Multiple Deficiencies","NH_12_030","05/30/2012","$18,000.00","Pinnacle Multicare Nursing And Rehab Center","Bronx","pfi1260nh_12_030.pdf"
"485","04/11/2011","Multiple Deficiencies","NH_12_031","05/30/2012","$4,000.00","River Ridge Living Center","Montgomery","pfi485nh_12_031.pdf"
"1148","03/24/2010","Multiple Deficiencies","NH_12_032","06/22/2012","$14,000.00","The Paramount At Somers Rehab And Nursing Center","Westchester","pfi1148nh_12_032.pdf"
"1022","02/23/2011","Multiple Deficiencies","NH_12_033","07/16/2012","$8,000.00","Granville Center For Rehabilitation And Nursing","Washington","pfi1022nh_12_033.pdf"
"949","07/29/2011","Multiple Deficiencies","NH_12_034","07/16/2012","$4,000.00","Brookside Multicare Nursing Center","Suffolk","pfi949nh_12_034.pdf"
"447",".","Quality of Care","NH_12_036","08/21/2012","$12,000.00","Blossom South Nursing And Rehabilitation Center","Monroe","pfi447nh_12_036.pdf"
"161",".","Multiple Deficiencies","NH_12_035","08/24/2012","$28,000.00","Crown Park Rehabilitation And Nursing Center","Cortland","pfi161nh_12_035.pdf"
"5546","04/11/2011","Multiple Deficiencies","NH_12_037","08/24/2012","$4,000.00","Hopkins Center For Rehabilitation And Healthcare","Kings","pfi5546nh_12_037.pdf"
"447",".","Multiple Deficiencies","NH_12_038","09/17/2012","$14,000.00","Blossom South Nursing And Rehabilitation Center","Monroe","pfi447nh_12_038.pdf"
"337","07/25/2011","Quality of Care","NH_12_039","09/17/2012","$10,000.00","Fulton Center For Rehabilitation And Healthcare","Fulton","pfi337nh_12_039.pdf"
"447","07/26/2010","Quality of Care","NH_12_040","09/17/2012","$2,000.00","Blossom South Nursing And Rehabilitation Center","Monroe","pfi447nh_12_040.pdf"
"762","04/01/2011","Multiple Deficiencies","NH_12_041","09/17/2012","$4,000.00","Troy Center For Rehabilitation And Nursing","Rensselaer","pfi762nh_12_041.pdf"
"1407","02/18/2011","Quality of Care","NH_12_042","09/25/2012","$10,000.00","Crown Heights Center For Nursing And Rehab","Kings","pfi1407nh_12_042.pdf"
"1736","02/24/2009","Multiple Deficiencies","NH_12_043","11/19/2012","$4,000.00","Beacon Rehabilitation And Nursing Center","Queens","pfi1736nh_12_043.pdf"
"1376","01/20/2010","Multiple Deficiencies","NH_12_044","11/29/2012","$12,000.00","Schulman And Schachne Inst For Nursing & Rehab","Kings","pfi1376nh_12_044.pdf"
"6300","08/27/2009","Multiple Deficiencies","NH_12_045","12/05/2012","$8,000.00","New York State Veterans Home At Montrose","Westchester","pfi6300nh_12_045.pdf"
"754","11/09/2009","Multiple Deficiencies","NH_12_046","12/05/2012","$16,000.00","Putnam Nursing & Rehabilitation Center","Putnam","pfi754nh_12_046.pdf"
"1126","05/19/2011","Multiple Deficiencies","NH_13_008","01/13/2013","$12,000.00","Andrus On Hudson","Westchester","pfi1126nh_13_008.pdf"
"1671","07/13/2011","Multiple Deficiencies","NH_13_010","01/13/2013","$12,000.00","Parker Jewish Institute For Health Care & Rehab","Queens","pfi1671nh_13_010.pdf"
"56","11/05/2010","Multiple Deficiencies","NH_13_003","01/29/2013","$22,000.00","Absolut Ctr For Nursing & Rehab Endicott L L C","Broome","pfi56nh_13_003.pdf"
"774","05/06/2011","Multiple Deficiencies","NH_13_007","01/31/2013","$16,000.00","Northern Riverview Health Care, Inc","Rockland","pfi774nh_13_007.pdf"
"604","05/23/2011","Multiple Deficiencies","NH_13_009","02/04/2013","$12,000.00","Katherine Luther Residential Hlth Care & Rehab","Oneida","pfi604nh_13_009.pdf"
"608","07/27/2011","Multiple Deficiencies","NH_13_004","02/13/2013","$12,000.00","The Pines At Utica Center For Nursing And Rehab","Oneida","pfi608nh_13_004.pdf"
"655","06/10/2011","Multiple Deficiencies","NH_13_005","02/13/2013","$6,000.00","St Camillus Residential Health Care Facility","Onondaga","pfi655nh_13_005.pdf"
"194","04/27/2011","Multiple Deficiencies","NH_13_006","02/27/2013","$20,000.00","Ferncliff Nursing Home Co Inc","Dutchess","pfi194nh_13_006.pdf"
"1236","04/12/2011","Multiple Deficiencies","NH_13_011","02/27/2013","$24,000.00","Mosholu Parkway Nursing & Rehabilitation Center","Bronx","pfi1236nh_13_011.pdf"
"681","06/24/2011","Quality of Care","NH_13_012","03/11/2013","$10,000.00","M M Ewing Continuing Care Center","Ontario","pfi681nh_13_012.pdf"
"390","07/07/2011","Quality of Care","NH_13_013","03/11/2013","$2,000.00","Livingston County Center For Nursing And Rehab","Livingston","pfi390nh_13_013.pdf"
"254","09/27/2011","Quality of Care","NH_13_014","04/24/2013","$2,000.00","Ellicott Center For Rehabilitation And Nursing","Erie","pfi254nh_13_014.pdf"
"1316","09/01/2011","Multiple Deficiencies","NH_13_015","04/30/2013","$4,000.00","Rutland Nursing Home, Inc","Kings","pfi1316nh_13_015.pdf"
"50","07/06/2011","Multiple Deficiencies","NH_13_016","05/29/2013","$4,000.00","Bridgewater Center For Rehab & Nursing L L C","Broome","pfi50nh_13_016.pdf"
"305",".","Multiple Deficiencies","NH_13_017","06/10/2013","$32,000.00","Essex Center For Rehabilitation And Healthcare","Essex","pfi305nh_13_017.pdf"
"282","09/12/2011","Quality of Care","NH_13_018","06/10/2013","$4,000.00","Fiddlers Green Manor Rehab And Nursing Center","Erie","pfi282nh_13_018.pdf"
"56","11/21/2011","Multiple Deficiencies","NH_13_019","09/11/2013","$14,000.00","Absolut Ctr For Nursing & Rehab Endicott L L C","Broome","pfi56nh_13_019.pdf"
"23","10/17/2011","Quality of Care","NH_13_021","11/04/2013","$10,000.00","Teresian House Nursing Home Co Inc","Albany","pfi23nh_13_021.pdf"
"483","10/17/2011","Quality of Care","NH_13_022","11/04/2013","$10,000.00","Amsterdam Memorial Hospital S N F","Montgomery","pfi483nh_13_022.pdf"
"604","08/19/2011","Quality of Care","NH_13_020","11/06/2013","$10,000.00","Katherine Luther Residential Hlth Care & Rehab","Oneida","pfi604nh_13_020.pdf"
"154","03/13/2012","Quality of Care","NH_15_001","01/12/2014","$2,000.00","The Grand Rehabilitation And Nursing At Barnwell","Columbia","pfi154nh_15_001.pdf"
"1008","12/20/2011","Quality of Care","NH_15_002","02/02/2014","$2,000.00","Warren Center For Rehabilitation And Nursing","Warren","pfi1008nh_15_002.pdf"
"1026",".","Multiple Deficiencies","NH_14_001","02/24/2014","$44,000.00","Washington Center For Rehab And Healthcare","Washington","pfi1026nh_14_001.pdf"
"4551","08/23/2010","Multiple Deficiencies","NH_14_002","02/24/2014","$20,000.00","Ghent Rehabilitation & Nursing Center","Columbia","pfi4551nh_14_002.pdf"
"656","04/13/2011","Quality of Care","NH_14_003","05/02/2014","$10,000.00","Bishop Rehabilitation And Nursing Center","Onondaga","pfi656nh_14_003.pdf"
"448","09/14/2011","Multiple Deficiencies","NH_14_004","06/24/2014","$12,000.00","The Pearl Nursing Center Of Rochester","Monroe","pfi448nh_14_004.pdf"
"315",".","Multiple Deficiencies","NH_14_005","09/11/2014","$20,000.00","Elderwood Of Uihlein At Lake Placid","Essex","pfi315nh_14_005.pdf"
"1013",".","Multiple Deficiencies","NH_14_006","09/11/2014","$2,000.00","Elderwood At North Creek","Warren","pfi1013nh_14_006.pdf"
"5710","08/24/2011","Multiple Deficiencies","NH_14_007","09/19/2014","$6,000.00","Nassau Rehabilitation & Nursing Center","Nassau","pfi5710nh_14_007.pdf"
"161","10/29/2011","Quality of Care","NH_14_008","09/30/2014","$10,000.00","Crown Park Rehabilitation And Nursing Center","Cortland","pfi161nh_14_008.pdf"
"607","01/20/2012","Multiple Deficiencies","NH_14_009","11/05/2014","$18,000.00","Utica Rehabilitation & Nursing Center","Oneida","pfi607nh_14_009.pdf"
"881","12/19/2011","Multiple Deficiencies","NH_14_010","11/05/2014","$6,000.00","Massapequa Center Rehabilitation & Nursing","Suffolk","pfi881nh_14_010.pdf"
"5546","02/29/2012","Other Services","NH_15_006","06/24/2015","$10,000.00","Hopkins Center For Rehabilitation And Healthcare","Kings","pfi5546nh_15_006.pdf"
"681","09/25/2012","Quality of Care","NH_15_007","06/24/2015","$2,000.00","M M Ewing Continuing Care Center","Ontario","pfi681nh_15_007.pdf"
"331","02/01/2012","Multiple Deficiencies","NH_15_008","06/24/2015","$12,000.00","Nathan Littauer Hospital Nursing Home","Fulton","pfi331nh_15_008.pdf"
"1316",".","Multiple Deficiencies","NH_15_009","06/24/2015","$12,000.00","Rutland Nursing Home, Inc","Kings","pfi1316nh_15_009.pdf"
"1010","01/17/2012","Quality of Care","NH_15_010","06/24/2015","$10,000.00","The Pines At Glens Falls Ctr For Nursing & Rehab","Warren","pfi1010nh_15_010.pdf"
"825","08/19/2014","Multiple Deficiencies","NH_15_011","06/24/2015","$2,000.00","Saratoga Center For Rehab & Skilled Nursing Care","Saratoga","pfi825nh_15_011.pdf"
"1571","01/25/2013","Other Services","NH_15_012","06/24/2015","$6,000.00","Mary Manning Walsh Nursing Home Co Inc","New York","pfi1571nh_15_012.pdf"
